O95400 Q9Y4W6
Q9ULX6 P16615
Q13283 Q9BW92
O15160 P07384
O60476 Q6PHZ2
P56391 P38650
Q9UBB4 P35249
Q15427 P12235
P82675 Q6IBS0
O43719 Q8TCJ2
Q9UKU7 P35250
Q9EPC6 Q9H2U2
P03911 P49790
Q6KAS7 P04843
O15371 O95789
Q811U4 Q9NW64
P11177 Q9BS26
O43172 P05198
P62805 O75306
P61006 Q9Y5M8
P03888 Q9ESN9
P03911 O35625
P51965 P61006
P22695 P61011
P68255 Q969E4
Q9H5Q4 P46462
Q9H444 Q96G23
Q5T5P2 P38647
Q92665 Q15672
Q15126 P51553
O43615 P62805
Q53R41 P47869
Q9Y277 P62875
Q92665 Q96QF0
Q9QY76 P53350
P98179 Q9BSF4
Q08211 Q12907
P13667 P61983
Q9UI09 Q9WVC0
P62328 Q9H488
Q9CQH3 Q9QYR6
Q9H2M9 O15160
P18085 Q14152
Q8IWZ8 P63044
Q62277 P62805
P60766 P78346
Q8NDI1 P10109
Q9CQ75 Q9Y6G9
Q9NR28 Q9EPC6
P62495 Q8TCJ0
Q16659 Q9HAV7
Q9ERD7 P35279
Q9NYK5 Q9Y3Z3
P51991 Q5T5P2
Q99574 P42166
Q9H845 O95347
Q14195 O94985
Q8N163 Q9BSJ8
Q9WV92 Q791V5
Q96G23 Q9EQH3
P62314 Q9Y5M8
Q9BVI4 Q14315
Q86XE5 Q92900
Q9EP89 P46781
P12787 P62880
P10155 Q5NDL2
Q86WJ1 Q99832
Q9BSH4 Q9ESN9
Q9BY77 Q96G23
P61457 P15999
Q6P9T8 Q9BW92
P49589 Q8N183
P17535 Q3KQU3
Q16822 P05787
P35269 Q60932
Q9UGP8 O35643
Q9NR28 P83436
P38647 P07237
P04040 P17275
Q10713 Q53QZ3
Q9EQH3 Q03252
Q9NXE8 Q96GX2
Q8BG81 P82933
P35606 Q99848
Q91YT0 P62328
Q6KAS7 O75153
P48771 Q99873
Q2PQA9 P18583
Q8IYB9 Q9UHD8
P06748 Q14197
Q13867 P61014
P78346 Q99832
Q16222 Q9NZ42
P22528 P31943
Q9DC69 Q9UHD8
P30040 Q5F1R6
P55258 O75600
Q6XE24 Q12996
P61956 O15355
Q8N3C0 P63045
P11442 O43143
Q7Z4H7 Q13467
Q9UKT5 Q9NZ45
Q811U4 P78345
