Q8BH75 Q80U30-2
P06727 P20393
Q60770 O09044
P70452 O09044
Q60770 P70452
P63044 P70452
Q60770 P63044
P63044 O09044
Q08850 P63045
Q60770 Q08850
O09044 Q08850
O09044 P63045
Q63503 P02651
P15208 Q3UJU9
Q04206 Q9UBK2
P06213-2 Q14449
P49841 Q14449
P68400 P67870
P68400 Q14449
Q96EB6 P27986
Q96EB6 P35568
Q96EB6 Q9Y4H2
Q9Y4H2 P27986
O95273 P55042
Q9R1E0 P0DJI6
P0DJI6 Q9WVH4
Q9R1E0 Q09472
Q9R1E0 Q96EB6
Q9BXC9 Q8IWZ6
Q9BXC9 Q96RK4
Q9BXC9 Q8TAM2
Q9BXC9 Q8NFJ9
Q9BXC9 Q3SYG4
Q8IWZ6 Q8NFJ9
Q8IWZ6 Q96RK4
Q9BXC9 Q8N3I7
Q8IWZ6 P78371
Q9NPJ1 Q8TAM1
Q9NPJ1 Q8IWZ6
Q9NPJ1 P17987
Q9NPJ1 P78371
Q9BXC9 P78371
Q9NPJ1 Q9BXC9
Q8TAM2 Q96RK4
Q8TAM2 Q8NFJ9
Q8TAM2 Q8IWZ6
A8MTZ0 Q9BXC9
A8MTZ0 Q8IWZ6
A8MTZ0 Q8NFJ9
A8MTZ0 Q96RK4
Q8N3I7 Q96RK4
Q8N3I7 Q8NFJ9
Q8N3I7 Q8IWZ6
Q3SYG4 Q8IWZ6
Q8NFJ9 Q3SYG4
Q96RK4 Q8NFJ9
Q15154 Q96RK4
A8MTZ0 Q15154
Q8IWZ6 Q6ZW61
Q6ZW61 Q9NPJ1
Q9CWF6 Q8K2G4
Q9CWF6 Q8VD72
Q9CWF6 Q811G0
Q9CWF6 Q3V3N7
Q9CWF6 Q9CZQ9
Q9CWF6 Q8C1Z7
Q3V3N7 Q9CZQ9
Q3V3N7 Q8K2G4
Q3V3N7 Q811G0
Q3V3N7 Q8VD72
Q3V3N7 Q8C1Z7
Q96RK4 Q8K2G4
Q96RK4 Q9CWF6
Q96RK4 Q3V3N7
Q96RK4 Q9CZQ9
Q96RK4 Q9JHQ5
Q96RK4 Q811G0
Q96RK4 Q8VD72
Q9CWF6 Q9JHQ5
Q9NQ48 Q3SYG4
Q9NQ48 Q9BXC9
Q9NQ48 Q9NQ48
Q9NQ48 Q8IWZ6
Q8IWZ6 P56726
P56726 Q8N3I7
Q96RK4 P56726
Q8NFJ9 P56726
P48356-1 Q8NFJ9
Q4GYY5 Q57UH8
Q57UH8 Q38DU9
Q9H0F7 Q9BXC9
Q9H0F7 Q96RK4
Q9H0F7 Q8IWZ6
Q8NFJ9 Q9H0F7
Q9BXC9 Q8C1Z7
Q9BXC9 Q8K2G4
Q9BXC9 Q9CZQ9
Q9CWF6 Q02248
Q9CWF6 P55258
Q9CWF6 P62492
Q02248 P55258
Q02248 P62492
O88848 Q9CWF6
O88848 Q8C1Z7
O88848 Q8K2G4
O88848 Q02248
O88848 Q811G0
O88848 P55258
O88848 P62492
O88848 Q8VD72
O88848 Q3V3N7
O88848 Q9CZQ9
Q9H0F7 Q3SYG4
Q9H0F7 Q8TAM2
Q96QF0 P62491
Q96QF0 P61006
Q96QF0 Q3TLI0
Q96QF0 Q9JME7
Q96QF0 Q5NCF2
Q96QF0 Q9CQP2
Q96QF0 Q9D289
Q96QF0 O55013
Q96QF0 Q3UPR7
Q96QF0 Q3U0M1
Q96QF0 Q9ES56
Q96QF0 Q9CQA1
Q96QF0 P48553
Q96QF0 Q9Y296
Q96QF0 P0DI81
Q96Q05 Q96QF0
Q96QF0 P08107
Q96QF0 Q86SZ2
Q96QF0 Q8N9M5
Q96QF0 Q9UL33
Q96QF0 Q9Y5R8
Q96QF0 O43617
Q96QF0 Q8IUR0
Q96QF0 O75865
Q15907 Q96QF0
Q96EB6 P37238-1
A2A935 P37238-1
Q923E4 P37238
P37238 A2A935
P37238 Q96EB6
P37231-2 O75376
P37231-2 Q00535
O41515 F1MWF1
O43524 Q9NTG7
Q96RK4 Q3SYG4
Q8NFJ9 Q15154
Q3SYG4 Q8N3I7
Q3SYG4 Q8TAM2
Q96QF0-1 Q8NFJ9
Q96QF0 Q96RK4
G3H0F0 O14901
Q14643 P21796
P38646 P21796
P38646 Q14643
P31749 Q14643
Q60932 P11881
Q99KR7 P11881
P38647 P11881
Q14643 P30405
